Altitude[m]	Temperature[Kelvin]	Pressure[pascal]
0.00000	288.150	101325
10.0000	288.085	101205
20.0000	288.020	101085
30.0000	287.955	100965
40.0000	287.890	100845
50.0000	287.825	100726
60.0000	287.760	100606
70.0000	287.695	100487
80.0000	287.630	100368
90.0000	287.565	100248
100.000	287.500	100129
110.000	287.435	100011
120.000	287.370	99891.7
130.000	287.305	99773.0
140.000	287.240	99654.4
150.000	287.175	99536.0
160.000	287.110	99417.6
170.000	287.045	99299.4
180.000	286.980	99181.2
190.000	286.915	99063.2
200.000	286.850	98945.3
210.000	286.785	98827.5
220.000	286.720	98709.9
230.000	286.655	98592.3
240.000	286.590	98474.9
250.000	286.525	98357.5
260.000	286.460	98240.3
270.000	286.395	98123.2
280.000	286.330	98006.2
290.000	286.265	97889.3
300.000	286.200	97772.6
310.000	286.135	97655.9
320.000	286.070	97539.4
330.000	286.005	97423.0
340.000	285.940	97306.6
350.000	285.875	97190.4
360.000	285.810	97074.3
370.000	285.745	96958.4
380.000	285.680	96842.5
390.000	285.615	96726.8
400.000	285.550	96611.1
410.000	285.485	96495.6
420.000	285.420	96380.2
430.000	285.355	96264.9
440.000	285.290	96149.7
450.000	285.225	96034.6
460.000	285.160	95919.6
470.000	285.095	95804.7
480.000	285.030	95690.0
490.000	284.965	95575.4
500.000	284.900	95460.8
510.000	284.835	95346.4
520.000	284.770	95232.1
530.000	284.705	95117.9
540.000	284.640	95003.8
550.000	284.575	94889.9
560.000	284.510	94776.0
570.000	284.445	94662.3
580.000	284.380	94548.6
590.000	284.315	94435.1
600.000	284.250	94321.7
610.000	284.185	94208.4
620.000	284.120	94095.2
630.000	284.055	93982.1
640.000	283.990	93869.1
650.000	283.925	93756.2
660.000	283.860	93643.5
670.000	283.795	93530.8
680.000	283.730	93418.3
690.000	283.665	93305.9
700.000	283.600	93193.6
710.000	283.535	93081.4
720.000	283.470	92969.3
730.000	283.405	92857.3
740.000	283.340	92745.4
750.000	283.275	92633.6
760.000	283.210	92521.9
770.000	283.145	92410.4
780.000	283.080	92299.0
790.000	283.015	92187.6
800.000	282.950	92076.4
810.000	282.885	91965.3
